occupation,p_automation,routineness,complexity,stratum,education_level,no_ed_requirement,hs_diploma_or_equiv,post_secondary_no_degree,associates,bachelors,masters,doctoral,occ_clean,TOT_EMP,industry,is_medical,is_programming,is_blue_collar,is_service
Dieticians and nutritionists,0.004,0.039,0.932,3,Bachelor's degree,0,0,0,0,1,0,0,dieticians and nutritionists,76570,Technology,0,1,0,0
Respiratory therapists,0.066,0.212,0.759,3,Associate's degree,0,0,0,1,0,0,0,respiratory therapists,136420,Healthcare,1,0,0,0
Occupational therapists,0.004,0.212,0.744,3,Master's degree,0,0,0,0,0,1,0,occupational therapists,152280,Healthcare,1,0,0,0
Physical therapists,0.021,0.212,0.826,3,Doctoral or professional degree,0,0,0,0,0,0,1,physical therapists,248630,Healthcare,1,0,0,0
Speech therapists,0.006,0.212,0.926,3,Master's degree,0,0,0,0,0,1,0,speech therapists,178790,Healthcare,1,0,0,0
Physicians' assistants,0.3,0.212,0.933,2,Master's degree,0,0,0,0,0,1,0,physicians assistants,155540,Healthcare,1,0,0,0
Kindergarten and earlier school teachers,0.15,0.036,0.531,2,Bachelor's degree,0,0,0,0,1,0,0,kindergarten and earlier school teachers,559490,Education,0,0,0,0
Primary school teachers,0.17,0.048,0.715,2,Bachelor's degree,0,0,0,0,1,0,0,primary school teachers,1393310,Education,0,0,0,0
Secondary school teachers,0.008,0.075,0.74,2,Bachelor's degree,0,0,0,0,1,0,0,secondary school teachers,1692910,Education,0,0,0,0
Special education teachers,0.012,0.103,0.731,2,Bachelor's degree,0,0,0,0,1,0,0,special education teachers,557230,Education,0,0,0,0
"Teachers, n.e.c.",0.01,0.085,0.722,2,Bachelor's degree,0,0,0,0,1,0,0,teachers n e c,229460,Education,0,0,0,0
Vocational and educational counselors,0.134,0.41,0.762,2,Master's degree,0,0,0,0,0,1,0,vocational and educational counselors,406180,Education,0,0,0,0
Librarians,0.65,0.373,0.678,2,Master's degree,0,0,0,0,0,1,0,librarians,131830,Education,0,0,0,0
Archivists and curators,0.383,0.042,0.74,2,Master's degree,0,0,0,0,0,1,0,archivists and curators,32400,Other,0,0,0,0
"Economists, market and survey researchers",0.33,0.592,0.967,3,Bachelor's or Master's degree,0,0,0,0,1,1,0,economists market and survey researchers,884740,Business & Finance,0,0,0,0
Psychologists,0.007,0.638,0.971,3,Doctoral or professional degree,0,0,0,0,0,0,1,psychologists,91030,Other,0,0,0,0
"Social scientists and sociologists, n.e.c.",0.059,0.066,0.954,3,Master's or Doctoral degree,0,0,0,0,0,1,1,social scientists and sociologists n e c,53940,Other,0,0,0,0
Urban and regional planners,0.13,0.182,0.971,3,Master's degree,0,0,0,0,0,1,0,urban and regional planners,43040,Other,0,0,0,0
Social workers,0.012,0.486,0.778,2,Bachelor's or Master's degree,0,0,0,0,1,1,0,social workers,694810,Other,0,0,0,0
Clergy and religious workers,0.008,0.644,0.759,3,Bachelor's or Master's degree,0,0,0,0,1,1,0,clergy and religious workers,91710,Other,0,0,0,0
Welfare service workers,0.028,0.097,0.62,2,High school diploma or Associate's,0,1,0,1,0,0,0,welfare service workers,424220,Service,0,0,0,1
Lawyers and judges,0.218,0.981,0.954,3,Doctoral or professional degree,0,0,0,0,0,0,1,lawyers and judges,789560,Legal,0,0,0,0
Writers and authors,0.038,0.179,0.639,2,Bachelor's degree,0,0,0,0,1,0,0,writers and authors,47800,Technology,0,1,0,0
Technical writers,0.89,0.197,0.535,3,Bachelor's degree,0,0,0,0,1,0,0,technical writers,55530,Technology,0,1,0,0
Designers,0.042,0.507,0.626,2,Bachelor's degree,0,0,0,0,1,0,0,designers,526160,Other,0,0,0,0
Musicians and composers,0.045,0.088,0.43,2,No formal educational credential,1,0,0,0,0,0,0,musicians and composers,50680,Other,0,0,0,0
"Actors, directors, and producers",0.196,0.057,0.679,3,Bachelor's degree,0,0,0,0,1,0,0,actors directors and producers,184070,Other,0,0,0,0
"Painters, sculptors, craft-artists, and print-makers",0.039,0.811,0.571,3,No formal educational credential,1,0,0,0,0,0,0,painters sculptors craft artists and print makers,14370,Other,0,0,0,0
Photographers,0.021,0.875,0.533,2,Doctoral or professional degree,0,0,0,0,0,0,1,photographers,51230,Other,0,0,0,0
Dancers,0.13,0.209,0.372,2,Doctoral or professional degree,0,0,0,0,0,0,1,dancers,12490,Other,0,0,0,0
Editors and reporters,0.083,0.775,0.641,3,Bachelor's degree,0,0,0,0,1,0,0,editors and reporters,137030,Technology,0,1,0,0
Announcers,0.72,0.513,0.522,2,Bachelor's degree,0,0,0,0,1,0,0,announcers,23880,Other,0,0,0,0
"Athletes, sports instructors, and officials",0.147,0.003,0.534,2,No formal educational credential,1,0,0,0,0,0,0,athletes sports instructors and officials,584010,Other,0,0,0,0
Clinical laboratory technologies and technicians,0.685,0.65,0.732,2,Associate's degree,0,0,0,1,0,0,0,clinical laboratory technologies and technicians,343040,Healthcare,1,0,0,0
Dental hygienists,0.68,0.863,0.535,2,Associate's degree,0,0,0,1,0,0,0,dental hygienists,219070,Other,0,0,0,0
Health record technologists and technicians,0.91,0.37,0.346,2,Postsecondary nondegree award,0,0,0,0,0,0,0,health record technologists and technicians,225530,Healthcare,1,0,0,0
Radiologic technologists and technicians,0.23,0.291,0.663,2,Associate's degree,0,0,0,1,0,0,0,radiologic technologists and technicians,223460,Other,0,0,0,0
Licensed practical nurses,0.058,0.349,0.719,2,Postsecondary nondegree award,0,0,0,0,0,0,0,licensed practical nurses,632430,Healthcare,1,0,0,0
"Health technologists and technicians, n.e.c.",0.4,0.425,0.734,2,Associate's degree,0,0,0,1,0,0,0,health technologists and technicians n e c,724780,Healthcare,1,0,0,0
Engineering technicians,0.24,0.419,0.775,2,Associate's degree,0,0,0,1,0,0,0,engineering technicians,330110,Other,0,0,0,0
Drafters,0.67,0.848,0.646,2,Associate's or Bachelor's degree,0,0,0,1,1,0,0,drafters,185480,Other,0,0,0,0
"Surveyors, cartographers, mapping scientists/techs",0.63,0.054,0.761,2,Bachelor's or Associate's,0,0,0,1,1,0,0,surveyors cartographers mapping scientists techs,65870,Other,0,0,0,0
Biological technicians,0.3,0.586,0.733,2,Bachelor's degree,0,0,0,0,1,0,0,biological technicians,76190,Other,0,0,0,0
Chemical technicians,0.57,0.437,0.776,2,Associate's degree,0,0,0,1,0,0,0,chemical technicians,55640,Other,0,0,0,0
Other science technicians,0.61,0.48,0.627,2,Associate's or Bachelor's degree,0,0,0,1,1,0,0,other science technicians,56520,Other,0,0,0,0
Airplane pilots and navigators,0.18,0.051,0.935,2,Bachelor's degree,0,0,0,0,1,0,0,airplane pilots and navigators,99300,Transportation,0,0,0,0
Air traffic controllers,0.11,0.31,0.914,2,Associate's degree,0,0,0,1,0,0,0,air traffic controllers,22400,Transportation,0,0,0,0
Broadcast equipment operators,0.74,0.58,0.574,2,Associate's degree,0,0,0,1,0,0,0,broadcast equipment operators,34130,Manufacturing,0,0,1,0
Computer software developers,0.086,0.288,0.918,2,Bachelor's degree,0,0,0,0,1,0,0,computer software developers,2044500,Technology,0,1,0,0
Programmers of numerically controlled machine tools,0.36,0.458,0.678,2,Postsecondary nondegree award,0,0,0,0,0,0,0,programmers of numerically controlled machine tools,28230,Technology,0,1,0,0
Legal assistants and paralegals,0.94,0.741,0.431,2,Associate's or Bachelor's degree,0,0,0,1,1,0,0,legal assistants and paralegals,367220,Legal,0,0,0,0
Sales supervisors and proprietors,0.178,0.127,0.704,2,Associate's degree,0,0,0,1,0,0,0,sales supervisors and proprietors,1332170,Sales,0,0,0,0
Insurance sales occupations,0.92,0.948,0.636,2,High school diploma or equivalent,0,1,0,0,0,0,0,insurance sales occupations,469480,Sales,0,0,0,0
Real estate sales occupations,0.86,0.805,0.66,2,High school diploma or equivalent,0,1,0,0,0,0,0,real estate sales occupations,240190,Sales,0,0,0,0
Financial service sales occupations,0.016,0.881,0.766,2,Bachelor's degree,0,0,0,0,1,0,0,financial service sales occupations,472300,Business & Finance,0,0,0,1
Advertising and related sales jobs,0.54,0.996,0.628,2,Bachelor's degree,0,0,0,0,1,0,0,advertising and related sales jobs,97470,Sales,0,0,0,0
Sales engineers,0.004,0.343,0.962,2,High school diploma or equivalent,0,1,0,0,0,0,0,sales engineers,56690,Sales,0,0,0,0
Retail salespersons and sales clerks,0.92,0.522,0.497,2,High school diploma or equivalent,0,1,0,0,0,0,0,retail salespersons and sales clerks,4065310,Sales,0,0,0,0
Cashiers,0.97,0.975,0.168,1,No formal educational credential,1,0,0,0,0,0,0,cashiers,3148030,Sales,0,0,0,0
"Door-to-door sales, street sales, and news vendors",0.94,0.167,0.064,1,No formal educational credential,1,0,0,0,0,0,0,door to door sales street sales and news vendors,4590,Sales,0,0,0,0
"Sales demonstrators, promoters, and models",0.745,0.422,0.034,1,No formal educational credential,1,0,0,0,0,0,0,sales demonstrators promoters and models,70120,Sales,0,0,0,0
Office supervisors,0.014,0.75,0.653,2,No formal educational credential,1,0,0,0,0,0,0,office supervisors,1495580,Other,0,0,0,0
Computer and peripheral equipment operators,0.78,0.452,0.744,1,High school diploma or equivalent,0,1,0,0,0,0,0,computer and peripheral equipment operators,NA,Technology,0,0,1,0
Secretaries and stenographers,0.903,0.993,0.419,1,High school diploma or equivalent,0,1,0,0,0,0,0,secretaries and stenographers,2210590,Other,0,0,0,0
Typists,0.81,0.972,0.114,1,Postsecondary nondegree award,0,0,0,0,0,0,0,typists,NA,Other,0,0,0,0
"Interviewers, enumerators, and surveyors",0.94,0.911,0.371,1,High school diploma or equivalent,0,1,0,0,0,0,0,interviewers enumerators and surveyors,157310,Other,0,0,0,0
Hotel clerks,0.94,0.668,0.304,1,High school diploma or equivalent,0,1,0,0,0,0,0,hotel clerks,261430,Other,0,0,0,0
Transportation ticket and reservation agents,0.61,0.762,0.502,1,High school diploma or equivalent,0,1,0,0,0,0,0,transportation ticket and reservation agents,127440,Transportation,0,0,0,0
Receptionists and other information clerks,0.96,0.942,0.336,1,High school diploma or equivalent,0,1,0,0,0,0,0,receptionists and other information clerks,964530,Other,0,0,0,0
Correspondence and order clerks,0.86,0.753,0.345,1,High school diploma or equivalent,0,1,0,0,0,0,0,correspondence and order clerks,83420,Other,0,0,0,0
"Human resources clerks, excl payroll and timekeeping",0.9,0.908,0.435,1,High school diploma or equivalent,0,1,0,0,0,0,0,human resources clerks excl payroll and timekeeping,92580,Business & Finance,0,0,0,0
Library assistants,0.95,0.589,0.338,1,High school diploma or equivalent,0,1,0,0,0,0,0,library assistants,153840,Other,0,0,0,0
File clerks,0.97,0.984,0.339,1,High school diploma or equivalent,0,1,0,0,0,0,0,file clerks,78980,Other,0,0,0,0
Bookkeepers and accounting and auditing clerks,0.98,0.966,0.522,1,High school diploma or equivalent,0,1,0,0,0,0,0,bookkeepers and accounting and auditing clerks,1455770,Technology,0,1,0,0
Payroll and timekeeping clerks,0.97,0.62,0.34,1,High school diploma or equivalent,0,1,0,0,0,0,0,payroll and timekeeping clerks,156950,Other,0,0,0,0
Billing clerks and related financial records processing,0.95,0.936,0.346,1,Some college,0,0,1,0,0,0,0,billing clerks and related financial records processing,417500,Business & Finance,0,0,0,0
Mail and paper handlers,0.94,0.756,0.053,1,High school diploma or equivalent,0,1,0,0,0,0,0,mail and paper handlers,195890,Other,0,0,0,0
"Office machine operators, n.e.c.",0.92,0.854,0.324,1,High school diploma or equivalent,0,1,0,0,0,0,0,office machine operators n e c,24740,Manufacturing,0,0,1,0
Telephone operators,0.97,0.951,0.13,1,High school diploma or equivalent,0,1,0,0,0,0,0,telephone operators,35730,Manufacturing,0,0,1,0
"Postal clerks, exluding mail carriers",0.95,0.96,0.303,1,High school diploma or equivalent,0,1,0,0,0,0,0,postal clerks exluding mail carriers,78060,Other,0,0,0,0
Mail carriers for postal service,0.68,0.626,0.052,1,High school diploma or equivalent,0,1,0,0,0,0,0,mail carriers for postal service,336040,Service,0,0,0,1
"Mail clerks, outside of post office",0.94,0.957,0.115,1,High school diploma or equivalent,0,1,0,0,0,0,0,mail clerks outside of post office,111930,Other,0,0,0,0
Messengers,0.94,0.781,0.13,1,High school diploma or equivalent,0,1,0,0,0,0,0,messengers,NA,Other,0,0,0,0
Dispatchers,0.96,0.826,0.573,1,High school diploma or equivalent,0,1,0,0,0,0,0,dispatchers,211000,Other,0,0,0,0
Shipping and receiving clerks,0.98,0.796,0.445,1,No formal educational credential,1,0,0,0,0,0,0,shipping and receiving clerks,857630,Transportation,0,0,0,0
Stock and inventory clerks,0.64,0.696,0.071,1,High school diploma or equivalent,0,1,0,0,0,0,0,stock and inventory clerks,2779530,Other,0,0,0,0
Meter readers,0.85,0.647,0.325,1,High school diploma or equivalent,0,1,0,0,0,0,0,meter readers,19620,Other,0,0,0,0
"Weighers, measurers, and checkers",0.95,0.869,0.326,1,High school diploma or equivalent,0,1,0,0,0,0,0,weighers measurers and checkers,49720,Other,0,0,0,0
"Material recording, sched., prod., plan., expediting cl.",0.88,0.772,0.719,1,High school diploma or equivalent,0,1,0,0,0,0,0,material recording sched prod plan expediting cl,385000,Technology,0,1,0,0
"Insurance adjusters, examiners, and investigators",0.98,0.866,0.534,1,High school diploma or equivalent,0,1,0,0,0,0,0,insurance adjusters examiners and investigators,305020,Other,0,0,0,0
"Customer service reps, invest., adjusters, excl. insur.",0.55,0.814,0.62,1,High school diploma or equivalent,0,1,0,0,0,0,0,customer service reps invest adjusters excl insur,2725930,Service,0,0,0,1
"Eligibility clerks for government prog., social welfare",0.7,0.92,0.448,1,High school diploma or equivalent,0,1,0,0,0,0,0,eligibility clerks for government prog social welfare,156260,Technology,0,1,0,0
Bill and account collectors,0.95,0.978,0.448,1,High school diploma or equivalent,0,1,0,0,0,0,0,bill and account collectors,165020,Other,0,0,0,0
General office clerks,0.96,0.927,0.249,1,High school diploma or equivalent,0,1,0,0,0,0,0,general office clerks,NA,Other,0,0,0,0
Bank tellers,0.98,1,0.372,1,High school diploma or equivalent,0,1,0,0,0,0,0,bank tellers,339340,Other,0,0,0,0
Proofreaders,0.84,0.817,0.172,1,High school diploma or equivalent,0,1,0,0,0,0,0,proofreaders,5160,Other,0,0,0,0
Data entry keyers,0.99,0.838,0.324,1,High school diploma or equivalent,0,1,0,0,0,0,0,data entry keyers,135280,Technology,0,0,0,0
Statistical clerks,0.66,0.905,0.932,1,High school diploma or equivalent,0,1,0,0,0,0,0,statistical clerks,5900,Other,0,0,0,0
Teacher's aides,0.56,0.471,0.338,1,High school diploma or equivalent,0,1,0,0,0,0,0,teacher s aides,1375300,Education,0,0,0,0
"Housekeepers, maids, butlers, and cleaners",0.675,0.27,0.028,1,Some college,0,0,1,0,0,0,0,housekeepers maids butlers and cleaners,854910,Service,0,0,0,1
Laundry and dry cleaning workers,0.71,0.841,0.034,1,No formal educational credential,1,0,0,0,0,0,0,laundry and dry cleaning workers,195360,Other,0,0,0,0
"Fire fighting, fire prevention, and fire inspection occs",0.325,0.006,0.795,1,No formal educational credential,1,0,0,0,0,0,0,fire fighting fire prevention and fire inspection occs,335020,Other,0,0,0,0
"Police and detectives, public service",0.098,0.045,0.731,1,No formal educational credential,1,0,0,0,0,0,0,police and detectives public service,777780,Service,0,0,0,1
"Sheriffs, bailiffs, correctional institution officers",0.48,0.267,0.435,1,No formal educational credential,1,0,0,0,0,0,0,sheriffs bailiffs correctional institution officers,382290,Technology,0,1,0,0
Crossing guards,0.49,0.297,0.028,1,No formal educational credential,1,0,0,0,0,0,0,crossing guards,90180,Other,0,0,0,1
"Guards and police, except public service",0.84,0.723,0.519,1,No formal educational credential,1,0,0,0,0,0,0,guards and police except public service,1251770,Service,0,0,0,1
"Protective service, n.e.c.",0.67,0.191,0.433,1,No formal educational credential,1,0,0,0,0,0,0,protective service n e c,226700,Service,0,0,0,1
Bartenders,0.77,0.802,0.343,1,No formal educational credential,1,0,0,0,0,0,0,bartenders,745610,Service,0,0,0,1
Waiters and waitresses,0.94,0.13,0.036,1,No formal educational credential,1,0,0,0,0,0,0,waiters and waitresses,2302690,Technology,0,1,0,1
Cooks,0.768,0.887,0.291,1,No formal educational credential,1,0,0,0,0,0,0,cooks,2743530,Service,0,0,0,1
Food preparation workers,0.87,0.556,0.002,1,Postsecondary nondegree award,0,0,0,0,0,0,0,food preparation workers,888770,Other,0,0,0,0
Miscellanious food preparation and service workers,0.895,0.553,0.047,1,Postsecondary nondegree award,0,0,0,0,0,0,0,miscellanious food preparation and service workers,1265460,Service,0,0,0,1
Dental Assistants,0.51,0.963,0.497,1,High school diploma or equivalent,0,1,0,0,0,0,0,dental assistants,375430,Other,0,0,0,0
Health and nursing aides,0.39,0.273,0.428,1,High school diploma or equivalent,0,1,0,0,0,0,0,health and nursing aides,5464490,Healthcare,1,0,0,0
Supervisors of cleaning and building service,0.94,0.246,0.324,2,No formal educational credential,1,0,0,0,0,0,0,supervisors of cleaning and building service,174660,Service,0,0,0,1
"Superv. of landscaping, lawn service, groundskeeping",0.57,0.121,0.556,2,High school diploma or equivalent,0,1,0,0,0,0,0,superv of landscaping lawn service groundskeeping,124130,Service,0,0,0,1
Gardeners and groundskeepers,0.95,0.316,0.239,1,Postsecondary nondegree award,0,0,0,0,0,0,0,gardeners and groundskeepers,943430,Other,0,0,0,0
Janitors,0.66,0.386,0.025,1,Postsecondary nondegree award,0,0,0,0,0,0,0,janitors,2199900,Technology,0,1,0,1
Pest control occupations,0.66,0.376,0.418,1,No formal educational credential,1,0,0,0,0,0,0,pest control occupations,96110,Other,0,0,0,0
Barbers,0.8,0.99,0.056,1,High school diploma or equivalent,0,1,0,0,0,0,0,barbers,18100,Other,0,0,0,0
Hairdressers and cosmetologists,0.11,0.82,0.162,1,No formal educational credential,1,0,0,0,0,0,0,hairdressers and cosmetologists,295460,Other,0,0,0,0
Recreation facility attendants,0.006,0.176,0.117,1,High school diploma or equivalent,0,1,0,0,0,0,0,recreation facility attendants,371590,Technology,0,1,0,0
Guides,0.484,0.446,0.335,1,No formal educational credential,1,0,0,0,0,0,0,guides,49010,Other,0,0,0,0
Ushers,0.96,0.583,0.036,1,No formal educational credential,1,0,0,0,0,0,0,ushers,119210,Other,0,0,0,0
"Baggage porters, bellhops and concierges",0.52,0.118,0.27,1,High school diploma or equivalent,0,1,0,0,0,0,0,baggage porters bellhops and concierges,75420,Other,0,0,0,0
Recreation and fitness workers,0.046,0.012,0.356,1,High school diploma or equivalent,0,1,0,0,0,0,0,recreation and fitness workers,309640,Technology,0,1,0,0
Motion picture projectionists,0.97,0.735,0.062,1,Postsecondary nondegree award,0,0,0,0,0,0,0,motion picture projectionists,1950,Other,0,0,0,0
Child care workers,0.084,0.537,0.433,1,Postsecondary nondegree award,0,0,0,0,0,0,0,child care workers,520180,Service,0,0,0,1
"Supervisors of personal service jobs, n.e.c",0.076,0.173,0.62,2,Postsecondary nondegree award,0,0,0,0,0,0,0,supervisors of personal service jobs n e c,107060,Service,0,0,0,1
Public transportation attendants and inspectors,0.825,0.027,0.431,1,Postsecondary nondegree award,0,0,0,0,0,0,0,public transportation attendants and inspectors,NA,Transportation,0,0,0,0
"Animal caretakers, except farm",0.82,0.629,0.322,1,Postsecondary nondegree award,0,0,0,0,0,0,0,animal caretakers except farm,277300,Other,0,0,0,0
Supervisors of mechanics and repairers,0.003,0.249,0.816,1,Postsecondary nondegree award,0,0,0,0,0,0,0,supervisors of mechanics and repairers,600680,Other,0,0,1,0
Automobile mechanics and repairers,0.59,0.379,0.555,1,Postsecondary nondegree award,0,0,0,0,0,0,0,automobile mechanics and repairers,688840,Other,0,0,1,0
"Bus, truck, and stationary engine mechanics",0.73,0.382,0.448,1,High school diploma or equivalent,0,1,0,0,0,0,0,bus truck and stationary engine mechanics,467500,Other,0,0,1,0
Aircraft mechanics,0.71,0.328,0.764,1,Postsecondary nondegree award,0,0,0,0,0,0,0,aircraft mechanics,136390,Other,0,0,1,0
Small engine repairers,0.93,0.613,0.355,1,Postsecondary nondegree award,0,0,0,0,0,0,0,small engine repairers,NA,Other,0,0,1,0
Auto body repairers,0.91,0.808,0.244,1,Postsecondary nondegree award,0,0,0,0,0,0,0,auto body repairers,155220,Other,0,0,1,0
Heavy equipement and farm equipment mechanics,0.575,0.395,0.353,1,Postsecondary nondegree award,0,0,0,0,0,0,0,heavy equipement and farm equipment mechanics,36880,Other,0,0,1,0
